City,Region,tif_count,Latitude,Longitude,Brightness
Al Fujayrah,ASIA,37.00002961,25.1045045,56.34076577,4.648663333
Al Hasakah,ASIA,48.00003839,36.50815972,40.74305556,0.117645215
Al Hillah,ASIA,151.0001208,32.48576159,44.4044702,1.954454933
Al Hudaydah,ASIA,104.0000832,14.80184295,42.98693911,1.054032522
Al Hufuf,ASIA,121.0000968,25.39676308,49.57114325,8.993451588
Al Jaghbub,AFRICA,1.0000008,29.75,24.51666667,1.141779694
Al Jahra,ASIA,53.00004241,29.33144654,47.67940252,7.876347707
Al Jawf,AFRICA,19.0000152,24.21973684,23.2877193,1.680191055
Al Jubayl,ASIA,47.00003761,26.99485815,49.64503546,9.386680687
Al Karak,ASIA,88.0000704,31.14905303,35.71751894,0.512643858
Al Khalil,ASIA,145.000116,31.52885057,35.10528736,1.219065947
Al Kharj,ASIA,66.0000528,24.15315656,47.3169192,8.167727669
Al Khums,AFRICA,15.000012,32.65055555,14.25944445,2.584838483
Al Kut,ASIA,44.0000352,32.51742424,45.81818182,3.466184888
Al Ladhiqiyah,ASIA,192.0001536,35.56289062,35.81662327,0.77412587
Al Marj,AFRICA,21.0000168,32.49325397,20.82857143,2.304740428
Al Mubarraz,ASIA,62.46414388,25.43128226,49.56151613,8.202951878
Al Mukalla,ASIA,32.0000256,14.55286458,49.12760417,1.813059047
Al Musayyib,ASIA,44.0000352,32.78617424,44.28844697,1.323137116
Al Qamishli,ASIA,30.87420873,37.04648659,41.23641377,0.36618909
Al Qunaytirah,ASIA,9.000007193,33.125,35.81666667,0.198312571
Al Quwayiyah,ASIA,17.0000136,24.07107843,45.27647059,2.160007021
Al Wajh,ASIA,10.000008,26.25,36.45333334,5.078280305
Al-Qatif,ASIA,74.12229572,26.52680922,50.0024846,8.391210387
Alagoinhas,SOUTH AMERICA,22.0000176,-12.1280303,-38.43333333,2.010140793
Alajuela,SOUTH AMERICA,176.4002442,9.993276296,-84.22419085,1.364185911
Alamogordo,NORTH AMERICA,35.000028,32.91071428,-105.9528571,0.492636483
Alapayevsk,ASIA,53.00004241,57.85471698,61.68867925,0.944614765
Alatyr,EUROPE,33.00002641,54.84494949,46.575,0.478409773
Alayat Samail,ASIA,10.000008,23.30333333,57.96583334,0.840846102
Albacete,EUROPE,56.00004479,38.99806547,-1.878571425,1.253714167
Albany1,NORTH AMERICA,178.0001424,31.59321161,-84.17228464,2.062052326
Albany2,NORTH AMERICA,452.1558999,42.71179643,-73.75775333,2.061223149
Albany3,NORTH AMERICA,73.0000584,44.63424657,-123.0950913,1.06768919
Albany4,AUSTRALIA,26.0000208,-35.00544872,117.8714744,0.412037926
Albert Lea,NORTH AMERICA,35.000028,43.65571428,-93.37119047,0.976114298
Albuquerque,NORTH AMERICA,744.0005952,35.14115143,-106.6345206,1.84588772
Albury,AUSTRALIA,49.0000392,-36.06088436,146.9219388,0.811327175
Aldama,NORTH AMERICA,6.000004799,22.925,-98.07916666,0.204381551
