City,Region,tif_count,Latitude,Longitude,Elevation
Al Khalil,ASIA,145,31.52885057,35.10528736,400.928
Al Kharj,ASIA,66,24.15315657,47.31691919,514.511
Al Khums,AFRICA,15,32.65055556,14.25944444,67.551
Al Kut,ASIA,44,32.51742424,45.81818182,19.81
Al Ladhiqiyah,ASIA,192,35.56289062,35.81662326,23.196
Al Marj,AFRICA,21,32.49325397,20.82857143,130.561
Al Mubarraz,ASIA,62.46409391,25.43128152,49.56150048,180.143
Al Mukalla,ASIA,32,14.55286458,49.12760417,112.318
Al Musayyib,ASIA,44,32.78617424,44.28844697,33.119
Al Qamishli,ASIA,30.87418403,37.04648869,41.23649736,783.018
Al Qunaytirah,ASIA,8.999999993,33.125,35.81666667,540.302
Al Quwayiyah,ASIA,17,24.07107843,45.27647059,735.93
Al Wajh,ASIA,9.999999999,26.25,36.45333333,151.57
Al-Qatif,ASIA,74.12223642,26.52680849,50.00241716,28.82534875
Alagoinhas,SOUTH AMERICA,22,-12.1280303,-38.43333333,100.505
Alajuela,SOUTH AMERICA,176.4001031,9.993275953,-84.2242608,321.8158168
Alamogordo,NORTH AMERICA,35,32.91071429,-105.9528571,1676.24
Alapayevsk,ASIA,53.00000001,57.85471698,61.68867925,196.694
Alatyr,EUROPE,33.00000001,54.84494949,46.575,173.528
Alayat Samail,ASIA,9.999999999,23.30333333,57.96583333,548.962
Albacete,EUROPE,55.99999999,38.99806548,-1.878571429,717.3067356
Albany1,NORTH AMERICA,178,31.59321161,-84.17228464,85.047
Albany2,NORTH AMERICA,452.1555382,42.71179648,-73.75774394,279.232
Albany3,NORTH AMERICA,73,44.63424658,-123.0950913,231.415
Albany4,AUSTRALIA,26,-35.00544872,117.8714744,67.57533649
Albert Lea,NORTH AMERICA,35,43.65571429,-93.37119048,364.063
Albuquerque,NORTH AMERICA,744,35.14115143,-106.6345206,1978.829
Albury,AUSTRALIA,49,-36.06088435,146.9219388,381.245
Aldama,NORTH AMERICA,5.999999999,22.925,-98.07916667,78.877
Aldan,ASIA,31,58.61854839,125.3768817,767.466
Aleksandrovsk,ASIA,18,50.90092593,142.1550926,266.064
Alekseyevka,EUROPE,32,50.63463542,38.68385417,168.468
Aleksin,EUROPE,56,54.51279762,37.06145833,200.5928214
Aleppo,ASIA,291,36.21317297,37.16033792,497.222
Alexandria1,NORTH AMERICA,134,31.31511194,-92.45273632,46.736
Alexandria2,NORTH AMERICA,1421.829432,38.87768146,-77.26798415,99.31538268
Alexandria3,AFRICA,495,31.19656566,30.01159933,0.1885
Alexandroupoli,EUROPE,26,40.85865385,25.88621795,28.519
Aleysk,ASIA,37,52.49369369,82.76756757,216.534
Algeciras,EUROPE,56.11564247,36.15517481,-5.451779006,261.183
Algha,ASIA,20,49.90916667,57.32166667,296.548
Algiers,AFRICA,1850,36.66834234,3.090941441,406.6714724
Ali Bayramli,ASIA,27,39.94938272,48.92376543,74.295
Ali Sabih,AFRICA,8.000000001,11.15625,42.70104167,485.233
Alicante,EUROPE,181,38.39263352,-0.490699816,316.143
Alice,NORTH AMERICA,31,27.75698925,-98.07768817,136.864
Alice Springs,AUSTRALIA,30,-23.69416667,133.8711111,682.813
Aligarh,ASIA,10141.30124,27.99065524,78.15303603,187.0950413
Alipur Duar,ASIA,6879.15195,26.39426687,89.80527557,278.5595235
Aliwal North,AFRICA,12,-30.69305556,26.70972222,1447.143
Allahabad,ASIA,9655.722996,25.3328607,81.70000838,168.5054251
Allanmyo,ASIA,18.99999998,19.35701754,95.21359649,186.27
Allappey,ASIA,2412.914575,9.533485,76.52756457,86.583
Allende,NORTH AMERICA,13,28.34615385,-100.8525641,288.658
Allentown,NORTH AMERICA,636,40.63535115,-75.41198899,180.988
Alliance,NORTH AMERICA,18,42.10740741,-102.8787037,1165.887
Almaty,ASIA,506,43.28183465,76.89856719,909.0511067
