City,Region,tif_count,Latitude,Longitude,wc2.1_5m_bio_18.tif,wc2.1_5m_bio_11.tif,wc2.1_5m_bio_19.tif,wc2.1_5m_bio_13.tif,wc2.1_5m_bio_10.tif,wc2.1_5m_bio_3.tif,wc2.1_5m_bio_9.tif,wc2.1_5m_bio_14.tif,wc2.1_5m_bio_2.tif,wc2.1_5m_bio_16.tif,wc2.1_5m_bio_8.tif,wc2.1_5m_bio_5.tif,wc2.1_5m_bio_6.tif,wc2.1_5m_bio_1.tif,wc2.1_5m_bio_12.tif,wc2.1_5m_bio_7.tif,wc2.1_5m_bio_17.tif,wc2.1_5m_bio_4.tif,wc2.1_5m_bio_15.tif
Abidjan,AFRICA,5.57,5.417863555,-4.061340515,325.5655296,24.69103595,269.567325,438.7827648,27.69425858,64.88394019,27.08151319,21.53141831,6.490712137,853.8456015,27.0719876,31.56768316,21.56769266,26.45424866,1697.177738,9.999990501,144.2369838,121.5690361,80.24386994
Abilene,NORTH AMERICA,1.38,32.48007246,-99.80495169,186.173913,7.863500115,84.10869565,84.63768116,27.7314614,38.71522492,7.863500115,24.05072464,13.76938871,216.557971,23.75645561,35.16770343,-0.398210151,18.07510644,616.0217391,35.5659131,84.10869565,805.1644738,40.72085057
Abohar,ASIA,12.50599139,30.37000886,74.29493601,127.5102954,14.17672211,26.3372111,100.1087293,32.74204652,39.80707259,19.38150475,2.72813031,14.12859807,270.1885504,30.85395348,41.05024728,5.557904383,24.4462549,356.9589968,35.49234278,17.36747306,766.9357478,120.4883549
Abomey,AFRICA,14.21624684,6.908970431,1.854721596,234.5224856,25.38554972,300.7296334,162.9243795,28.63146398,70.58920859,27.55881579,5.162259746,8.931463835,431.1796863,27.21527596,34.28943494,21.63588495,27.0714983,1006.298869,12.65354999,45.93425473,130.1690514,63.65049715
Abong Mbang,AFRICA,0.02,4,13.16666667,306,22.93183327,468,293,24.7001667,72.30963898,23.4841671,22,9.857250213,656,23.13666725,30.56399918,16.93199921,23.5896244,1593,13.63199997,90,75.6412735,62.78927231
Abra Pampa,SOUTH AMERICA,0.06,-22.66666667,-65.75,125,5.917833328,2,58,14.32299995,62.22682953,6.091666222,0,17.02775002,156,14.25616646,22.12199974,-5.242000103,10.82904148,221,27.36400032,1,356.8828125,114.6472778
Abu Dhabi,ASIA,1.23,24.48780488,54.36924119,2,19.88043756,35.68292683,22.05691057,34.18799982,40.29534475,31.31245346,0,10.45514646,45.72357724,20.49032514,40.22324052,14.29898506,27.46945401,62.1300813,25.92425582,1,592.3348835,115.4865922
Abu Kamal,ASIA,0.93,34.53942652,40.87365591,1,9.09939972,59.98924731,26,31.47795999,35.57846582,30.98845615,0,13.29599883,64.86021505,10.93612731,40.076354,2.706774186,20.73781555,134.5913979,37.36957927,0,917.8523415,80.42588322
Abuja,AFRICA,2.06,9.105582524,7.439724919,112.3009709,24.62261416,786.6990291,283.5291262,28.45091938,61.95238699,25.7026279,0.995145631,10.64816666,786.6990291,24.62261416,35.03263164,17.84487341,26.1571326,1372.883495,17.18775823,9.558252427,159.4342448,94.60978136
Acapulco,NORTH AMERICA,1.6,16.9265625,-99.87708333,561.75625,25.79644492,23.56875,301.19375,27.78485543,76.60837541,26.42962644,1.95,9.166298121,822.25,27.42687122,32.64307649,20.65571318,26.90143578,1303.125,11.98736331,9.80625,80.1679544,115.6448562
